sample_id,source_dataset,source_split,image_path,original_label,fine_label,coarse_label,is_known,usage,license_notes,capture_date,location_context,object_description,why_unknown_or_difficult,lighting_condition,background_condition,human_note
local_000001,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000001.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,blue rubber slipper,Object is outside the known TrashNet waste material classes and represents local out-of-taxonomy waste,outdoor,plain/concrete,local phone-captured unknown/difficult sample
local_000002,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000002.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,metal spoon on ground,Household utensil is metal-like but not represented as a normal TrashNet waste item,outdoor,ground,local phone-captured unknown/difficult sample
local_000003,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000003.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,dirty metal spoon,Metal-like object with dirt and unusual shape compared with training images,outdoor,ground,local phone-captured unknown/difficult sample
local_000004,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000004.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,small torn mixed paper/plastic fragment,Small damaged mixed-material object is visually ambiguous,outdoor,soil,local phone-captured unknown/difficult sample
local_000005,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000005.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,torn sachet or packaging piece,Local damaged packaging may be paper-plastic mixed material,outdoor,soil,local phone-captured unknown/difficult sample
local_000006,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000006.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,dirty printed cardboard or food packaging,Contaminated local packaging creates paper-cardboard versus residual ambiguity,outdoor,cluttered/ground,local phone-captured unknown/difficult sample
local_000007,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000007.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,dirty printed cardboard or food packaging,Contaminated local packaging creates paper-cardboard versus residual ambiguity,outdoor,cluttered/ground,local phone-captured unknown/difficult sample
local_000008,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000008.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,silver blister or foil packaging,Reflective packaging may be medicine/foil/mixed material and difficult for closed-set classifier,outdoor,cluttered/soil,local phone-captured unknown/difficult sample
local_000009,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000009.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,dirty translucent plastic sheet,Dirty and deformed plastic may confuse plastic versus residual,outdoor,cluttered/soil,local phone-captured unknown/difficult sample
local_000010,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000010.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,crumpled white wrapper,Crumpled damaged wrapper is ambiguous between paper plastic and residual,outdoor,cluttered/soil,local phone-captured unknown/difficult sample
local_000011,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000011.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,small metal cap or lid,Small metal object differs from clean TrashNet metal examples,outdoor,gravel,local phone-captured unknown/difficult sample
local_000012,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000012.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,white cap or lid,Small cap is visually ambiguous and locally shifted,outdoor,gravel,local phone-captured unknown/difficult sample
local_000013,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000013.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,metal cup or container,Unusual metal container shape compared with normal cans,outdoor,ground,local phone-captured unknown/difficult sample
local_000014,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000014.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,stained torn paper or cardboard,Damaged and stained paper/cardboard may be residual instead of recyclable,outdoor,soil,local phone-captured unknown/difficult sample
local_000015,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000015.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,small green and silver wrapper,Mixed shiny wrapper is reflective and ambiguous,outdoor,soil,local phone-captured unknown/difficult sample
local_000016,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000016.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,small metal tin or cup,Unusual metal container shape compared with normal cans,outdoor,ground,local phone-captured unknown/difficult sample
local_000017,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000017.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,metal cup or small container,Unusual metal container shape and lighting shift,outdoor,soil,local phone-captured unknown/difficult sample
local_000018,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000018.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,blue SIM/card-like packaging,E-waste or plastic-card-like local item outside TrashNet labels,outdoor,concrete,local phone-captured unknown/difficult sample
local_000019,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000019.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,metal cup or small container,Unusual metal container shape and background shift,outdoor,soil,local phone-captured unknown/difficult sample
local_000020,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000020.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,blue card-like plastic packaging,Plastic-card-like local object outside clean training examples,outdoor,concrete,local phone-captured unknown/difficult sample
local_000021,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000021.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,blue damaged card-like packaging,Damaged local card/plastic object creates material ambiguity,outdoor,concrete,local phone-captured unknown/difficult sample
local_000022,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000022.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,blue card-like packaging,Plastic-card-like local object outside clean training examples,outdoor,concrete,local phone-captured unknown/difficult sample
local_000023,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000023.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,blue card-like packaging with shadow,Lighting and shadow make the local card/plastic object difficult,outdoor,concrete,local phone-captured unknown/difficult sample
local_000024,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000024.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,torn white paper or cardboard,Damaged paper/cardboard object can confuse paper-cardboard versus residual,outdoor,dark ground,local phone-captured unknown/difficult sample
local_000025,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000025.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,blue card-like plastic packaging,Multiple similar local packaging samples test domain shift,outdoor,concrete,local phone-captured unknown/difficult sample
local_000026,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000026.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,foil snack wrapper with label,Reflective mixed-material food wrapper is a strong manual-review candidate,outdoor,concrete,local phone-captured unknown/difficult sample
local_000027,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000027.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,cardboard piece,Local cardboard with stains and text differs from clean training examples,outdoor,concrete,local phone-captured unknown/difficult sample
local_000028,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000028.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,large torn cardboard or paperboard,Damaged board-like material creates paper-cardboard versus residual ambiguity,outdoor,concrete,local phone-captured unknown/difficult sample
local_000029,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000029.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,white folded plastic wrapper,Folded plastic/paper wrapper is visually ambiguous,outdoor,dark ground,local phone-captured unknown/difficult sample
local_000030,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000030.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,crumpled silver foil and white paper,Mixed reflective foil and paper object is ambiguous,outdoor,dark ground,local phone-captured unknown/difficult sample
local_000031,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000031.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,crumpled silver foil wrapper,Reflective deformed wrapper is difficult for normal classifier,outdoor,dark ground,local phone-captured unknown/difficult sample
local_000032,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000032.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,pink plastic bag,Local plastic bag with deformation and lighting shift,outdoor,concrete,local phone-captured unknown/difficult sample
local_000033,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000033.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,charger/adaptor with disposable cup,Multi-object scene with e-waste-like item and cup should be manual review,outdoor,concrete,local phone-captured unknown/difficult sample
local_000034,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000034.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,cardboard rectangle,Local cardboard sample for domain-shift/manual-review testing,outdoor,dark ground,local phone-captured unknown/difficult sample
local_000035,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000035.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,disposable cup and lid,Cup and lid create multi-material ambiguity,outdoor,dark ground,local phone-captured unknown/difficult sample
local_000036,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000036.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,crumpled foil wrapper,Reflective damaged wrapper is difficult and mixed-material-like,outdoor,concrete,local phone-captured unknown/difficult sample
local_000037,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000037.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,plastic bottle with red cap and box,Multi-object scene should not be forced into one fine label,outdoor,concrete,local phone-captured unknown/difficult sample
local_000038,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000038.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,small green tube or sachet,Local small packaging item is difficult to map to a known class,outdoor,concrete,local phone-captured unknown/difficult sample
local_000039,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000039.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,blue rubber slipper,Out-of-taxonomy local object similar to rubber/textile waste,outdoor,concrete,local phone-captured unknown/difficult sample
local_000040,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000040.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,folded white wrapper,Damaged folded wrapper is ambiguous between plastic paper and residual,outdoor,dark ground,local phone-captured unknown/difficult sample
local_000041,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000041.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,clear plastic bag,Transparent plastic bag under local lighting is a domain-shift sample,outdoor,dark ground,local phone-captured unknown/difficult sample
local_000042,local_phone_images,unknown_test,ml/data/local_unknown/images/local_000042.jpg,unknown,unknown,unknown,false,unknown_test,Own local phone image,6/19/2026,outdoor,small plastic cup or lid,Small cup/lid object is ambiguous under outdoor background,outdoor,dark ground,local phone-captured unknown/difficult sample
